index,name,Project Year,Location,Architects,Area
67, Hong Kong West Kowloon Station,," West Kowloon, Hong Kong",," Over 400,000 m虏 ( Over 4,628,481 ft虏)"
68," 鈥楤asel SBB鈥?railway Station, Basel ", 1996-200,,, 23.700 m2
69, 浠ｅ皵澶�鐗瑰競鏀垮巺鍜岀伀杞︾�?, 2006-2010," Delft,Dutch",,
70, Cheltenham Station,2016,,, 1700 m2
71, Salesforce Transit Center,2017," San Francisco, California, USA", Pelli Clarke Pelli Architects," 130,000m2 (Tower) / 14,000m2 (Transit Center)"
72,Nordic ligh,2018,,,
73,Pioneer Village Station, 2011 鈥?2017, Toronto, All Design锛堝師ALSOP Architect锛?SGA/IBI Group Architects,"7,000 m2"
74,Shanghai-South station ,2006,," Jean-Marie Duthilleul, Etienne Tricaud and ECADI Associ茅s (East China Architectural Design and Research Institute)",
75,Projects in Zhejiang ,,,,
76,The Megalithic Museum,,,,
77, P.E.M Vitr茅, JUNE 2016, City of Vitr茅 (35) FRANCE, TETRARC, 17 664 m2
78, Utrecht Central Station,2016,"Stationshal 12, 3511 CE Utrecht, the Netherlands",Benthem Crouwel Architects,25.000m2 (8.000m2 before new construction)
79, The Hague Central Station, 1 februari 2016," Koningin Julianaplein 10, 2595 Den Haag", Benthem Crouwel Architects, 20.000 m虏
80, 閾佽矾涓婃捣绔欏湴鍖哄煄甯傝�捐�″ぇ瀛︾敓鍥介檯绔炶禌浜岀瓑濂?,2016,,ProRail B.V., 21.750 m2 (gross floor area)
81, 闃垮�嗘柉鐗逛腹涓�澶�杞︾�?, June 2015," Amsterdam, the Netherlands"," Powerhouse Company, Benthem Crouwel Architects and Merk X", NS Stations
82, Graz Central Station,,,   Zechner & Zechner ZTGmbH,
83, Delft鈥檚 new train station,2015,,,
84,New Rail Baltic Parnu passenger terminal,2015,, SPARK,
85,鏉�宸炰笢绔�,2011.04-2013.6, China/HangzhouJianggan area east new town Centre,,
86,涓归害K酶ge鍖楃珯绔炶禌澶寸瓑濂?,,, COBE and DISSING+WEITLING," K酶ge Municipality, Banedanmark and DSB Properties"
87, 甯冭揪浣╂柉鍦伴搧鍙岀珯,2010,,,
88, gooood浜ら�氱珯鐗硅緫,2014,,,
89, 鏂伴箍鐗逛腹涓�澶�鐏�杞︾�?,2014,,,
90, 澧ㄥ皵鏈�甯侳linders 澶ц�楃伀杞︾珯鍥介檯绔炶�?,,,,140000骞虫柟绫?
91, 娲涙潐鐭惰仈鍚堣溅绔欐�傚康鎬昏�� ,," 800 North Alameda Street, Los Angeles, CA",,
92," New Metro Station 20 on Metro Line 1 in Sofia, Bulgaria",2011," Sofia, Bulgaria ",," 2,430 sqm"
93, Cidade Nova鍦伴搧绔?,2011,閲岀害鐑�鍐呭�?宸磋タ,,
94, 澶╂触瑗跨珯, 2009鈥?0111,,,
95, 濞佸皵澹�鏂拌溅绔�,,, Grimshaw Architects,
96,estacion-ave-donostia-san-sebastian-vaumm-esteyco,2018,"San Sebastian,Spain","Vaumm,Esteyco", 8.430 m2medium
97,riqualificazione-di-dieci-aree-urbane-periferiche-lucca-opps-architettura,2017,"Lucca,Italy",OPPS architettura,large
98,lucca-transport-terminal-studio-elementare,2017,"Lucca,Italy",Studio Elementare,large
99,gangnam-intermodal-transit-center-azpml-gansam,2017,"Seoul,south korea","AZPML,GANSAM", 56.000 m2large
100,helsfyr-subway-station-reiulf-ramstada,2016,"Oslo,Norway",Reiulf Ramstada,medium
101,terminal-intermodal-de-campanha-pablo-pita-catarina-alegria,2017,"Oporto,Portugal","Pablo Pita,Catarina Alegria",medium
102,social-and-urban-rehabilitation-in-los-angeles-downtown-alba-r-illanes,2016,"Los Angeles,United States",Alba R. Illanes,large
103,riga-central-station-masterplan-collaborative-architecture-makers,2016,"Riga,Latvia",Collaborative Architecture Makers, 590.000 m2extralarge
104,der-neue-bregenz-bahnhof-federico-comuzzo,2015,"Bregenz,Austria",Federico Comuzzo, 20.000 m2large
105,rabat-agdal-masterplan-and-train-station-azpml,2013,"Rabat,Morocco",AZPML, 140.000 m2extralarge
106,ka-u-estacion-intermodal-en-udine-arnau-tinena,2010,,"NUA arquitectures,Arnau Ti帽ena",large
107,estacion-intermodal-de-ourense-francisco-mangado,2011,,Francisco Mangado, 6.400 m2medium
108,estacion-intermodal-san-cristobal-acxt,2011,,"IDOM,C茅sar Portela", 107.258 m2extralarge
109,thames-hub-foster-partners,2011,,"Foster + Partners,Volterra Parteners,Halcrow Group",extralarge
110,estacion-a-coruna-mvrdv,2011,,MVRDV, 66.000 m2large
